Title,Genre,Language,Platform,Mood,Runtime,Rating,Description
Qissa Panjab,Drama,punjabi,Zee,Drama,93,7,"Qissa Panjab is a film that gives you an insight into the lives of the youth of Punjab - Six young people, the paths they choose and the choices they make."
Anjaana Anjaani,Romance,hindi,Sony,Comedy,151,7,"Two strangers who meet over a bridge, make a pact and travel together on a journey, get to know each other all that while!"
Action Jackson,Action,hindi,ETV,Horror,143,9,"Action Jackson is a Hindi movie about a small time crook, Vishi (Ajay Devgn) who falls in love with Khushi (Sonakshi Sinha). Few days later, Vishi meets his look-alike AJ, a professional assassin & right-hand of underworld criminal. When Vishi & AJ meet a lot of commotion and chaos takes place in their lives. Watch Action Jackson to see what all drama happens in Vishi & AJ’s life."
Sadda Adda,Comedy,hindi,Eros Now,Romantic,115,9,"Six boys from different states come together to share a two BHK flat in a middle-class colony, which they lovingly call 'Sadda Adda'. Their every day stories are lessons waiting to be learned."
Kyon Ki...Its Fate,Drama,hindi,JioHotstar,Action,149,7,"After accidentally killing his fiancee, Anand becomes insane and is admitted to a psychiatric hospital. Tanvi, his doctor, falls in love with him, but her father does not approve, given his past."
Taur Mittran Di,Comedy,punjabi,Zee,Drama,140,7,"2 boys set in Khalsa College, Amritsar are consumed by their rivalry in and aim at having an upper hand over each other."
Drona,Action,hindi,Sony,Comedy,144,8,One man's spectacular voyage that will force him to face his fears and make him the hero he was born to become.
Haathi Mere Saathi,Action,hindi,ETV,Horror,161,7,"Watch the bond between humans & elephants with Bandev’s story as he fights for the protection of his ele-friends. Witness the rage on ‘Haathi Mere Saathi’, full movie streaming in Hindi on Eros Now."
Tanu Weds Manu Returns,Comedy,hindi,Eros Now,Romantic,127,7,"Watch Tanu Weds Manu Returns starring Kangana Ranaut & R. Madhavan, a fun-filled ride to see how the romantic dynamics of this couple changes after the entry of a new character."
Oru Kidayin Karunai Manu,Comedy,tamil,JioHotstar,Action,119,6,"To fulfill a promise to God, a newlywed couple along with their families and a goat set on a road trip that soon turns into a comical adventure!"
English Vinglish - Tamil,Comedy,tamil,Zee,Drama,133,8,"The challenges of an ordinary middle class woman who is not proficient with the English language, and how she overcomes them. Starring Sridevi, in her comeback after 14 years."
Chaar Sahibzaade - Rise of Banda Singh Bahadur - Punjabi,Mature,punjabi,Sony,Comedy,134,7,Witness the extraordinary story of an immortal warrior.
Love Possible,Drama,hindi,ETV,Horror,126,8,This is a love story of shrewd secretary and Childish boss and her friend who believes in settling down by marrying a rich person.
Cocktail,Comedy,hindi,Eros Now,Romantic,144,7,"Cocktail is a Hindi rom-com movie based on a love triangle between Gautam (Saif Ali Khan), Veronica (Deepika Padukone) & Meera (Diana Penty). The movie shows the bond between three friends who meet in London. All is well as Gautam & Veronica instantly click but things start to get bumpy as Meera & Gautam fall for each other. Watch Cocktail to see who Gautam chooses between Veronica and Meera."
